'dataset_directory', 'NUM_INPUT', 'NUM_HIDDEN', 'NUM_OUTPUT', 'BATCH_SIZE', 'INPUT_FRAME_TIMESTEP', 'INPUT_SCALE', 'NETWORK_SCALE', 'NUM_EPOCH', 'NUM_FRAMES', 'verbose', 'debug', 'record_all_hidden_spikes', 'lr', 'dt', 'reg_lambda_lower', 'reg_lambda_upper', 'reg_nu_upper', 'recurrent', 'evaluate', 'input_hidden_w_mean', 'input_hidden_w_sd', 'hidden_hidden_w_mean', 'hidden_hidden_w_sd', 'hidden_output_w_mean', 'hidden_output_w_sd', 'aug_combine_images', 'aug_swap_pixels', 'aug_swap_pixels_kSwap', 'aug_swap_pixels_pSwap', 'aug_swap_pixels_tSwap', 'cross_validation', 'cross_validation_run_all', 'sweeping_suffix', 'output_dir', 'model_description', 'accuracy'
~/data/rawSC/rawSC_80input/,80,512,35,2,20,0.0009,0.04,10,100,True,True,False,0.01,1,0,0,0,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_test,SC_run,0.24252023935234074
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,0.04,10,100,True,True,False,0.01,1,0,0,0,False,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_test,SC_run,0.037346660608814176
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,0.04,10,100,True,True,False,0.01,1,0,0,0,False,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_test,SC_run,0.037346660608814176
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,10,100,True,True,False,0.01,1,1e-10,1e-10,20,False,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_test,SC_run,0.037346660608814176
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,10,100,True,True,False,0.01,1,1e-10,1e-10,20,False,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_test,SC_run,0.037437528396183556
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,10,100,True,True,False,0.01,1,1e-10,1e-10,20,False,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_test,SC_run,0.10377119716527461
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,10,100,True,True,False,0.01,1,1e-10,1e-10,20,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_test,SC_run,0.43211204623594673
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,10,100,True,True,False,0.01,1,1e-10,1e-10,20,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_test,SC_run,0.43211204623594673
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,10,100,True,True,False,0.01,1,1e-10,1e-10,20,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_test,SC_run,0.43215423231875805
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,10,100,True,True,False,0.01,1,1e-10,1e-10,20,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_test,SC_run,0.43064256435135384
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,10,100,False,False,False,0.01,1,1e-10,1e-10,20,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_test_run,SC_run,0.43257609314687084
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,10,100,True,True,False,0.01,1,1e-10,1e-10,20,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_test_run,SC_run,0.4307058434755707
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,500,100,False,True,False,0.01,1,1e-10,1e-10,20,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_test_run,SC_run,0.6039781476091037
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,5,100,True,True,False,0.01,1,1e-10,1e-10,20,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_new_track,SC_run,0.11085096360044155
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,25,100,True,True,False,0.001,1,1e-10,1e-10,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_new_track,SC_run,0.1655381889514649
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,40,100,True,True,False,0.01,1,1e-10,1e-10,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_results_100e,SC_run,0.3177033896517539
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,40,100,True,True,False,0.001,1,1e-10,1e-10,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_results_100e_lr3,SC_run,0.20813207056325453
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,200,100,True,True,False,0.001,1,1e-10,1e-10,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_results_100e_lr3,SC_run,0.3606066358708262
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,500,100,True,True,False,0.001,1,1e-10,1e-10,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_results_500e_lr3,SC_run,0.43151441006278696
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,300,100,True,True,False,0.01,1,1e-10,1e-10,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_results_300e_lr2,SC_run,0.46122044337573037
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,50,100,True,True,False,0.01,1,1e-10,1e-10,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_results_rerun,SC_run,0.33692618138609404
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,50,100,False,False,False,0.01,1,1e-10,1e-10,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_results_rerun,SC_run,0.5448613835628959
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,50,100,False,False,False,0.01,1,1e-10,1e-10,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_results_rerun,SC_run,0.5447207632868584
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,50,100,False,False,False,0.01,1,1e-10,1e-10,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_results_rerun_pixSwap,SC_run,0.38407615994150196
~/data/rawSC/rawSC_80input/,80,512,35,8,20,0.0009,1,50,100,False,False,False,0.01,1,1e-10,1e-10,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_test,SC_run,0.6288538744401555
~/data/rawSC/rawSC_80input/,80,512,35,8,20,0.0009,0.3,50,100,False,False,False,0.01,1,1e-10,1e-10,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_test,SC_run,0.01629122617847683
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,0.1,25,100,True,True,False,0.01,1,1e-10,1e-10,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_test_recurrent_slow_lr_update,SC_run,0.3096393165998734
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,0.1,25,100,True,True,False,0.01,1,1e-10,1e-10,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_test_recurrent_slow_lr_update_scheduledLR,SC_run,0.02478380088588905
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,0.1,25,100,True,True,False,0.01,1,1e-10,1e-10,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_test_recurrent_slow_lr_update_scheduledLR,SC_run,0.27388736553469734
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,0.1,25,100,True,True,False,0.06,1,1e-10,1e-10,10,False,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_test_recurrent_slow_lr_update_scheduledLR,SC_run,0.4219573929550728
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,0.1,25,100,True,True,False,0.06,1,1e-10,1e-10,10,True,False,0.0,4.0,0.0,0.0,3.0,1.5,False,False,1,0.2,0.1,False,True,,SC_test_recurrent_slow_lr_update_scheduledLR,SC_run,0.015186669479012866
